#,Title,Description,Level,Compliant,Date Reviewed,Reviewed By,Comments,Jira Ticket,
Provide text alternatives for non-text content (e.g. images),,,,,,,,,
1.1.1,1.1.1 Non-text Content (Level A),Provide text alternatives for non-text content (e.g. images),Level A,Supports,1/4/2024,Wes,Content author must provide alternatives,AV2-1219,
Provide alternatives for time-based media (audio and video),,,,,,,,,
1.2.1,1.2.1 Audio-only and Video-only (Prerecorded) (Level A),Provide alternatives for pre-recorded audio-only or video-only content,Level A,Supports,1/4/2024,Wes,Content author must provide alternatives,,
1.2.2,1.2.2 Captions (Prerecorded) (Level A),Provide captions for pre-recorded audio,Level A,Supports,1/4/2024,Wes,Content author must use a video / audio hosting provider that supports captions,,
1.2.3,1.2.3 Audio Description or Media Alternative (Prerecorded) (Level A),Provide alternatives for pre-recorded synchronized audio/video,Level A,Supports,1/4/2024,Wes,Content author must provide alternatives,,
1.2.4,1.2.4 Captions (Live) (Level AA),Provide captions for live audio in synchronized audio/video,Level AA,Not Applicable,1/4/2024,Wes,The platform does not support live audio / video,,
1.2.5,1.2.5 Audio Description (Prerecorded) (Level AA),Provide an audio description of pre-recorded video,Level AA,Supports,1/4/2024,Wes,Content author must use a video / audio hosting provider that supports descriptions,,
1.2.6,1.2.6 Sign Language (Prerecorded) (Level AAA),Provide sign language interpretation of pre-recorded audio in synchronized audio/video,Level AAA,Supports,1/4/2024,Wes,Content author must use a video / audio hosting provider that supports sign language interpretation or incorporate into media directly,,
1.2.7,1.2.7 Extended Audio Description (Prerecorded) (Level AAA),Provide extended audio descriptions of pre-recorded video in synchronized audio/video,Level AAA,Supports,1/4/2024,Wes,Content author must use a video / audio hosting provider that supports captions,,
1.2.8,1.2.8 Media Alternative (Prerecorded) (Level AAA),Provide text alternatives for both audio and video in synchronized audio/video,Level AAA,Supports,1/4/2024,Wes,Content author must provide text alternatives,,
